program,lat,lng,type_fp,type_sk,phone,address,boro,zip,loc_info,status,program_type,fp_hours,sk_hours
BAIT-UL JAMAAT-HOUSE COMMUNITY INC (FP),40.633096443784,-74.117032975944,FP,,(347) 289-7991,"332 Broadway, Staten Island, NY, 10310, USA",SI,10310,,Open,FP,Thu 12:00 PM-02:00 PM,
"IN THE BEGINNING OUTREACH, INC",40.703386469336,-73.767153230865,FP,,(516) 303-5202,"189-13 Liberty Ave, St Albans, NY, 11412, USA",QN,11412,,Open,FP,Wed 12:30 PM-02:00 PM,
MOUNT MORIAH SEVENTH DAY ADVENTIST CHURCH FP,40.698174001043,-73.897632720833,FP,,(347) 217-4988,1834 DECATUR STREE,QN,11385,,Open,FP,Sat 08:30 AM-09:30 AM,
THE SALVATION ARMY NEW YORK TEMPLE,40.73782727622327,-73.99832620005976,,SK,(212) 337-7469,"120 WEST 14TH STREET, NEW ",NY,10011,,Open,SK,,Mon 12:00 PM-01:00 PM; Tue 12:00 PM-01:00 PM; Wed 12:00 PM-01:00 PM; Thu 12:00 PM-01:00 PM
LOVE WINS FOOD PANTRY - MERCADITO SOLIDARIO,40.747979143983,-73.882909907905,FP,,(347) 735-6989,"3763 83RD STREET, JACKSON HEIGHTS ",QN,11372,SUITE #1B,Open,FP,Fri 01:00 PM-05:00 PM,
LOVE WINS@CORSI HOUSE NEIGHBORHOOD SENIOR CENTER (FP),40.79693964254,-73.937169739016,FP,,,"307 E 116th St, New York, NY, 10029, USA",NY,10029,,Open,FP,Thu 12:00 PM-01:00 PM,
ICNA RELIEEF QUBA PANTRY,40.63409660694297,-73.96410999848999,FP,,(212) 463-3227,"634 Rugby Rd, Brooklyn, NY, 11230, USA",BK,11230,,Open,FP,Tue 01:00 PM-03:00 PM,
"JESUS RECONCILIATION MINISTRIES, INC",40.88915214449594,-73.85649484296167,FP,,(718) 844-8704,"4051 Barnes Ave, Bronx, NY, 10466, USA",BX,10466,,Open,FP,Sat 12:00 PM-02:00 PM,
ST. JAMES PLACE (FP),40.864004297584,-73.899625434493,FP,,(718) 367-0655,"2500 Jerome Ave, Bronx, NY, 10468, USA",BX,10468,,Open,FP,Sat 09:30 AM-10:30 AM,
CHURCH OF GOD PROPHECY (SK),40.659009223179,-73.89509476437,,SK,(718) 649-5533,"71 Malta St, Brooklyn, NY, 11207, USA",BK,11207,,Open,SK,,Tue 03:30 PM-06:00 PM
CHURCH OF GOD PROPHECY (FP),40.659009223179,-73.89509476437,FP,,(718) 649-5533,"71 Malta St, Brooklyn, NY, 11207, USA",BK,11207,,Open,FP,Tue 03:30 PM-06:00 PM,
FAITH ASSEMBLY COMMUNITY OUTREACH,40.690510929883686,-73.8245309581163,FP,,(718) 849-5277,"120-13 101st Ave, South Richmond Hill, NY, 11419, USA",QN,11419,,Open,FP,Sat 10:00 AM-12:00 PM,
ICNA RELIEF BURKE AVENUE BRONX PANTRY,40.871571144494965,-73.84958044339417,FP,,(214) 463-3227,"1277-D Burke Ave, Bronx, NY, 10469, USA  ",BX,10469,,Open,FP,Sat 09:00 AM-11:00 AM,
LOVE WINS NYC at PSS,40.837260494399,-73.925821815583,FP,,(718) 588-3004,"1181 Nelson Ave, Bronx, NY, 10452, USA",BX,10452,2ND FLOOR,Open,FP,Fri 12:00 PM-01:00 PM,
LOVE WINS FOOD PANTRY @ BCPC,40.693511599011,-73.978098982884,FP,,(646) 518-9744,"271 Myrtle Ave, Brooklyn, NY, 11201, USA",BK,11201,STONEWALL HOUSE,Open,FP,Thu 01:30 PM-02:30 PM,
ST. ANN'S CORNER OF HARM REDUCTION,40.820597019429,-73.899470536923,,SK,(718) 585-5544,"886 Westchester Ave, Bronx, NY, 10459, USA",BX,10459,,Open,SK,,Mon 06:00 AM-12:00 PM; Tue 06:00 AM-12:00 PM; Wed 06:00 AM-12:00 PM; Thu 06:00 AM-12:00 PM; Fri 06:00 AM-12:00 PM
ST. SIMON STOCK FOOD PANTRY (FP),40.855189930115,-73.899024619674,FP,,(718) 367-1251,"2195 Valentine Ave, Bronx, NY, 10457, USA",BX,10457,,Open,FP,Fri 09:00 AM-10:00 AM,
VINEGAR HILL FOOD PANTRY,40.700687021343356,-73.98139307926473,FP,,(908) 403-5755,"228 York St, Brooklyn, NY, 11201, USA",BK,11201,,Open,FP,Tue 12:00 PM-01:00 PM,
HOUSE OF DAVID WORSHIP CENTER,40.663153739024,-73.886325030535,FP,,(718) 649-5982,"747 Hendrix St, Brooklyn, NY, 11207, USA",BK,11207,,Open,FP,Wed 10:30 AM-12:30 PM,
BETTER COMMUNITY FOOD PANTRY (FP),40.671668621093,-73.925425854477,FP,,(347) 240-9352,"218 Buffalo Ave, Brooklyn, NY, 11213, USA",BK,11213,,Open,FP,Sat 09:00 AM-01:00 PM,
CHAMBERS MEMORIAL BAPTIST CHURCH/LOVE OFFERING,40.802163035051,-73.935932486288,FP,,(347) 600-9820,"219 E 123rd St, New York, NY, 10035, USA",NY,10035,,Open,FP,Wed 09:00 AM-11:00 AM,
HOLY CHILD JESUS FOOD PANTRY,40.69888231377064,-73.83686735939088,FP,,(718) 847-1860,"112-06 86th Ave, Richmond Hill, NY, 11418, USA",QN,11418,,Open,FP,Mon 10:00 AM-12:00 PM; Thu 10:00 AM-12:00 PM,
MASJID MASJID OMAR ABDEL AZIZ,40.707457671271,-73.80047078887,FPH,,(718) 541-8485,"88-29 161st St, Jamaica, NY, 11432, USA",QN,11432,,Open,FP,Wed 02:00 PM-04:00 PM,
CHABAD - OCEANVIEW JEWISH CENTER (FPK),40.576641895145,-73.963311889192,FPK,,(718) 796-2462,"3100 Brighton 4th St, Brooklyn, NY, 11235, USA",BK,11235,,Open,FP,Mon 10:00 AM-11:00 AM,
BETHANY GOSPEL CHAPEL INC (FP),40.668105809329,-73.913053243381,FP,,(718) 929-1234,"521 Thomas S Boyland St, Brooklyn, NY, 11212, USA",BK,11212,,Open,FP,Sat 06:30 AM-07:30 AM,
"PROJECT HOSPITALITY, INC (FP)",40.62520094244982,-74.07967131309196,FP,,(718) 815-0800,"205 Canal St, Staten Island, NY, 10304, USA",SI,10304,,Open,FP,Tue 09:00 AM-11:00 AM; Thu 09:00 AM-11:00 AM,
COMMUNITY HELP IN PARK SLOPE (FP),40.678294012639,-73.982714821576,FP,,(718) 237-2962,"200 FOURTH AVENUE, BK 11217",BK,11217,,Open,FP,Thu 11:30 AM-01:00 PM; Sat 11:30 AM-01:00 PM,
"DISCIPLES OF GALILEE, INC",40.821626945781,-73.848881644126,FP,,(347) 293-6166,"725 Castle Hill Ave, Bronx, NY, 10473, USA",BX,10473,,Open,FP,Wed 03:00 PM-04:00 PM; Fri 01:00 PM-02:30 PM,
HEALTH ESSENTIAL ASSOCIATION INC (SI),40.571484510122,-74.111892187089,FP,,(607) 689-6618,"322 New Dorp Ln, Staten Island, NY, 10306, USA",SI,10306,,Open,FP,Tue 10:30 AM-11:30 AM,
ACADEMY OF MEDICAL & PUBLIC HEALTH SERVICES (AMPHS)                                 ,40.645975279923,-74.016798238278,FP,,(212) 256-9036,"5306 3RD AVE, 2ND FL, BROOKLYN, NY, 11220, USA",BK,11220,,Open,FP,Sat 02:00 PM-04:00 PM,
ALL MY CHILDREN  FP,40.716810869387,-73.789409777983,FP,,(718) 825-2566,"175 - 44 MAYFIELD RD, QUEENS, 11432",QN,11432,,Open,FP,Tue 11:00 AM-01:00 PM,
KEHILAT SEPHARDIM OF AHAVAT ACHIM,40.721100098789,-73.81157312254,FPK,,(718) 591-9574,"150-62 78th Rd, Flushing, NY, 11367, USA",QN,11367,,Open,FP,Mon 10:00 AM-02:00 PM; Tue 11:00 AM-01:00 PM; Wed 10:00 AM-02:00 PM; Thu 11:00 AM-01:00 PM; Sun 10:00 AM-04:00 PM,
NORTH BRONX SEVENTH DAY ADVENTIST CHURCH,40.880868009742,-73.857642038953,FP,,(718) 882-4907,"3743 Bronxwood Ave, Bronx, NY, 10469, USA",BX,10469,,Open,FP,Fri 09:00 AM-12:00 PM,
ST. ALBANS BAPTIST CHURCH,40.690832501599,-73.753919626472,FP,,(718) 723-8005,"196-20 119th Ave, Saint Albans, NY, 11412, USA",QN,11412,,Open,FP,Sat 10:00 AM-12:00 PM,
"UNITED YES WE CAN, UNIDOS SISE PUEDE, INC",40.896354923442,-73.855966531605,FP,,(646) 321-5045,"4327 White Plains Rd, Bronx, NY, 10466, USA",BX,10466,,Open,FP,Sat 12:00 PM-03:00 PM,
BRIGADA DE ESPERANZA INC,40.763968043385,-73.879747751113,FP,,(718) 530-8638,"89-07 ASTORIA BLVD, QUEENS, NY,  11369 ",QN,11369,,Open,FP,Sat 12:00 PM-03:00 PM,
FREE FOOD HARLEM (SK),40.803221208417,-73.94620970541,,SK,(510) 541-9430,"37 W 119th St, New York, NY, 10026, USA",NY,10026,,Open,SK,,Wed 05:15 PM-07:00 PM; Fri 05:15 PM-07:00 PM
THE BIBLE CHURCH OF CHRIST (80015),40.837271223235,-73.911563779186,FP,,(718) 293-1928,"1358 Morris Ave, Bronx, NY, 10456, USA",BX,10456,,Open,FP,Thu 09:30 AM-12:00 PM,
THE CRW COMMUNITY FOOD PANTRY (87046),40.720860956336,-73.978178421261,FP,,(646) 395-4414,"25 Avenue D, New York, NY, 10009, USA",NY,10009,,Open,FP,Tue 04:00 PM-05:45 PM; Wed 04:00 PM-05:45 PM,
CALVARY UNITED METHODIST CHURCH FOOD PANTRY (FP),40.852570124368,-73.913651627448,FP,,(718) 299-4732,"1885 University Ave, Bronx, NY, 10453, USA",BX,10453,,Open,FP,Fri 11:00 AM-01:00 PM,
FEEDING WITH TLC INC SOUP KITCHEN (SK),40.629883259312,-74.081366848776,,SK,(718) 447-0526,"175 Beach St, Staten Island, NY, 10304, USA",SI,10304,,Open,SK,,Sat 10:30 AM-12:30 PM
MORNING STAR FULL GOSPEL ASSEMBLY (FP),40.846964475162,-73.898330262815,FP,,(718) 294-6020,"464 E Tremont Ave, Bronx, NY, 10457, USA",BX,10457,,Open,FP,Wed 04:00 PM-06:00 PM,
NEW COVENANT COMMUNITY CORP (FP) (NCCDC ELG PANTRY) ,40.837139375898,-73.922075775416,FP,,(718) 328-6072,"1240 Edward L Grant Hwy, Bronx, NY, 10452, USA",BX,10452,,Open,FP,Mon 11:00 AM-01:00 PM,
REVELACION DIVINA FOOD PANTRY (FP),40.846631965063,-73.906144040593,FP,,,"240 E 175th St, Bronx, NY, 10457, USA",BX,10457,,Open,FP,Mon 05:00 PM-07:00 PM,
UA3 COMMUNITY FIRST FOOD PANTRY,40.716405352911,-73.987669029267,FP,,,"384 Grand St, New York, NY, 10002, USA",NY,10002,,Open,FP,Mon 10:00 AM-02:00 PM; Thu 10:00 AM-02:00 PM,
ROMAN CATHOLIC CHURCH OF ST HELENA (FP),40.834253780001,-73.854928684353,FP,,(718) 892-3232,"1315 Olmstead Ave, Bronx, NY, 10462, USA",BX,10462,,Open,FP,Wed 12:00 PM-02:00 PM,
MARANATHA FRENCH SEVENTH DAY ADVENTIST CHURCH (FP),40.692003621111,-73.77700741113,FP,,(718) 297-8797,173-04 LINDEN BLVD,QN,11434,,Open,FP,Sun 10:00 AM-12:00 PM,
"AL-MADINAH SCHOOL, INC (FP)",40.674227490404,-73.988546865987,FP,,(718) 222-4986,"383 3rd Ave, Brooklyn, NY, 11215, USA",BK,11215,,Open,FP,Fri 12:30 PM-02:30 PM,
CELESTIAL CHURCH OF CHRIST ILERI PARISH (FP),40.693704099717,-73.968063673921,FP,,(718) 624-8758,"138 Waverly Ave, Brooklyn, NY, 11205, USA",BK,11205,,Open,FP,Sat 12:00 PM-03:00 PM,
EASTCHESTER PRESBYTERIAN CHURCH (FP),40.871322034333,-73.847255219634,FP,,(718) 920-0679,"3154 Fish Ave, Bronx, NY, 10469, USA",BX,10469,,Open,FP,Sat 10:00 AM-11:00 AM,
GURU SEVA HIDU MILAN MANDIR CULTURAL GROUP (FP),40.838879500906,-73.826124190272,FP,,(347) 951-5669,"3201 Bruckner Blvd, Bronx, NY, 10461, USA",BX,10461,,Open,FP,Sat 11:00 AM-03:00 PM,
KINGDOM GLOBAL MISSIONS (FP),40.573925655602,-73.998782678507,FP,,,"2945 W 33rd St, Brooklyn, NY, 11224, USA",BK,11224,,Open,FP,Sat 12:00 PM-03:00 PM,
"PASWO (PAKISTAN AMERICAN SKILLED WOMEN ORGANIZATION, INC) (FP)",40.636494257784,-73.9683511732,FP,,(929) 527-6842,"930 Ditmas Ave, Brooklyn, NY, 11218, USA",BK,11218,,Open,FP,Wed 01:00 PM-02:00 PM,
CHAPEL OF THE GREAT RESTORER FOOD PANTRY (FP),40.814808016091,-73.893347221377,FP,,(718) 673-8139,"1121 Longwood Ave, Bronx, NY, 10474, USA",BX,10474,,Open,FP,Sat 12:00 PM-02:00 PM,
FOOD AND NUTRITION SERVICES PROGRAM,40.842662798633,-73.893489378455,FP,,(347) 974-7397,"1802 Crotona Ave, Bronx, NY, 10457, USA",BX,10457,,Open,FP,Wed 10:00 AM-04:00 PM,
MINISTERIO LA LUZ DE LA ESPERANZA PARA LAS NACIONES DE JESUCRISTO,40.744594112385,-73.886174407735,FP,,(631) 336-0572,79-01 BROADWAY,QN,11373,,Open,FP,Thu 05:00 PM-07:00 PM,
BETHANY BAPTIST CHURCH (FP),40.82866070365,-73.93848435671,FP,,(212) 234-5810,"304 W 154th St, New York, NY, 10039, USA",NY,10039,,Open,FP,Fri 12:00 PM-03:00 PM,
NUEVO SIGLO CARES (SERVING GOD THROUGH YOU) (FP),40.865411158123,-73.92060114719,FP,,(347) 856-8500,"213 Sherman Ave, New York, NY, 10034, USA",NY,10034,,Open,FP,Fri 02:00 PM-04:00 PM,
BROOKLYN FAITH SDA CHURCH (SK),40.652373521893,-73.924916821497,,SK,(718) 342-6712,"5518 Church Ave, Brooklyn, NY, 11203, USA",BK,11203,,Open,SK,,Fri 12:00 PM-03:00 PM
"CARING SHEPHERD SUPPLIES MINISTRIES, INC",40.889181313519,-73.856133331478,FP,,(917) 743-0780,"4056 Barnes Ave, Bronx, NY, 10466, USA",BX,10466,,Open,FP,Thu 04:00 PM-06:00 PM,
FRESH ANOINTING INTERNATIONAL CHARITIES (FAIC) (FP),40.705473758609,-73.777146550723,FP,,(917) 665-0240,"182-10 Liberty Ave, Jamaica, NY, 11433, USA",QN,11433,,Open,FP,Thu 11:00 AM-02:00 PM,
"MYLAH'S ORGANIZATION, INC (FP)",40.667266445545,-73.88878654404,FP,,,"509 Van Siclen Ave, Brooklyn, NY, 11207, USA",BK,11207,,Open,FP,Tue 10:30 AM-01:00 PM; Thu 10:30 AM-01:00 PM,
ST. PETERS - YVONNE GITTENS FOOD,40.667754523767,-73.733337695586,FP,,(718) 360-7650,"137-28 244th St, Rosedale, NY, 11422, USA",QN,11422,,Open,FP,Sat 11:00 AM-01:00 PM,
NEW BEGINNING FOOD PROGRAM,40.72626381215,-73.726064299106,FP,,,"242-01 Braddock Ave, Bellerose, NY, 11426, USA",QN,11426,,Open,FP,Tue 10:00 AM-11:30 AM,
MUNA SOCIAL SERVICES - JACKSON HEIGHTS COMMUNITY ,40.74967002531,-73.894511467728,FP,,(212) 920-6202,"35-35 71st St, Jackson Heights, NY, 11372, USA",QN,11372,,Open,FP,Thu 02:00 PM-03:00 PM,
ABUNDANT LIFE CHRISTIAN CHURCH (FP),40.687141446717,-73.943620703157,FP,,(718) 778-5833,"579 Gates Ave, Brooklyn, NY, 11221, USA",BK,11221,,Open,FP,Sun 01:30 PM-02:30 PM,
CHURCH OF GOD OF WOODYCREST AVENUE FP,40.830595939358,-73.929664534235,FP,,(718) 992-4087,"923 Woodycrest Ave, Bronx, NY, 10452, USA",BX,10452,,Open,FP,Sat 10:00 AM-01:00 PM,
FLUSHING JEWISH COMMUNITY COUNCIL FP,40.757896360363,-73.7944742077,FP,,(718) 463-8937,"171-39 Northern Blvd, Flushing, NY, 11358, USA",QN,11358,,Open,FP,Tue 09:00 AM-10:30 AM,
KINGSBRIDGE CENTER FOR ISRAEL (FPK),40.907061463644,-73.90425710655,FPK,,(718) 548-2727,"5905 Riverdale Ave, Bronx, NY, 10471, USA",BX,10471,,Open,FP,Wed 07:00 PM-09:00 PM; Sun 09:00 AM-12:00 PM,
LOUISEA MAZE EMILE COMMUNITY SERVICE,40.667041684811,-73.928774843891,FP,,(347) 639-3165,"1757 President St, Brooklyn, NY, 11213, USA",BK,11213,,Open,FP,Fri 10:00 AM-12:00 PM,
LOVE WINS NYC (HARLEM) (FP),40.814849003598,-73.956152738052,FP,,,"521 WEST126th St, New York, NY, 10027, USA",NY,10027,,Open,FP,Wed 01:00 PM-03:00 PM,
"NEW HOPE PENTECOSTAL CHURCH OF JESUS CHRIST, INC (FP)",40.671483548671,-73.916427378504,FP,,,"1838 Park Pl, Brooklyn, NY, 11233, USA",BK,11233,,Open,FP,Sat 12:00 PM-02:00 PM,
ST. JAMES CHURCH-COMMUNITY KITCHEN (SK),40.771333347434,-73.965586486256,,SK,(212) 774-4200,"865 Madison Ave, New York, NY, 10021, USA",NY,10021,,Open,SK,,Tue 12:00 PM-01:00 PM; Fri 06:30 PM-07:30 PM
AIDS SERVICE CENTER OF LOWER MANHATTAN (FP),40.75009859202,-73.98666630219,FP,,(212) 675-0875,"64 WEST 35th St, 3RD FL, New York, NY, 10001, USA",NY,10001,,Open,FP,Wed 10:00 AM-03:00 PM,
ALLIANCE CASA WASHINGTON HEIGHTS (FP),40.835229265893,-73.940571031506,FP,,(212) 645-0875,"2036 Amsterdam Ave, New York, NY, 10032, USA",NY,10032,,Open,FP,Wed 10:00 AM-03:00 PM,
FIRST UNITED CHRISTIAN CHURCH (FP),40.637659132778,-74.080221249759,FP,,,"109 Victory Blvd, Staten Island, NY, 10301, USA",SI,10301,,Open,FP,Tue 10:00 AM-01:00 PM; Sun 01:30 PM-03:30 PM,
MAS STATEN ISLAND CENTER FOOD PANTRY (FP),40.592418061845,-74.091916938355,FP,,(800) 668-0742,"180 Burgher Ave, Staten Island, NY, 10304, USA",SI,10304,,Open,FP,Fri 03:00 PM-06:00 PM,
MASJID AR RAHMAN FOOD PANTRY,40.714142364782,-73.749161303858,FP,,(718) 740-5025,"98-10 211th St, Queens Village, NY, 11429, USA",QN,11429,,Open,FP,Fri 02:30 PM-04:00 PM,
MET COUNCIL BROOKLYN HUB (FPK),40.629318426656,-73.998923159204,FPK,,,"1271 60th St, Brooklyn, NY, 11219, USA",BK,11219,,Open,FP,Wed 12:30 PM-04:30 PM; Thu 12:30 PM-04:30 PM,
ZERO HUNGER CAMPAIGN (CCSO) (FP),40.74261128937,-73.871398621179,FP,,(332) 228-8584,"93-15 Corona Ave, Elmhurst, NY, 11373, USA",QN,11373,,Open,FP,Wed 11:00 AM-01:00 PM; Fri 11:00 AM-01:00 PM,
